PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,Survived_texto
1,0,3,"Braund, Mr. Owen Harris",Hombre,22.0,1,0,7.25,Southampton,0,No sobrevivió
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Mujer,38.0,1,0,71.2833,Cherbourg,1,Sobrevivió
3,1,3,"Heikkinen, Miss. Laina",Mujer,26.0,0,0,7.925,Southampton,0,Sobrevivió
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Mujer,35.0,1,0,53.1,Southampton,1,Sobrevivió
5,0,3,"Allen, Mr. William Henry",Hombre,35.0,0,0,8.05,Southampton,0,No sobrevivió
6,0,3,"Moran, Mr. James",Hombre,25.0,0,0,8.4583,Queenstown,0,No sobrevivió
7,0,1,"McCarthy, Mr. Timothy J",Hombre,54.0,0,0,51.8625,Southampton,1,No sobrevivió
8,0,3,"Palsson, Master. Gosta Leonard",Hombre,2.0,3,1,21.075,Southampton,0,No sobrevivió
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",Mujer,27.0,0,2,11.1333,Southampton,0,Sobrevivió
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",Mujer,14.0,1,0,30.0708,Cherbourg,0,Sobrevivió
11,1,3,"Sandstrom, Miss. Marguerite Rut",Mujer,4.0,1,1,16.7,Southampton,1,Sobrevivió
12,1,1,"Bonnell, Miss. Elizabeth",Mujer,58.0,0,0,26.55,Southampton,1,Sobrevivió
13,0,3,"Saundercock, Mr. William Henry",Hombre,20.0,0,0,8.05,Southampton,0,No sobrevivió
14,0,3,"Andersson, Mr. Anders Johan",Hombre,39.0,1,5,31.275,Southampton,0,No sobrevivió
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",Mujer,14.0,0,0,7.8542,Southampton,0,No sobrevivió
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",Mujer,55.0,0,0,16.0,Southampton,0,Sobrevivió
17,0,3,"Rice, Master. Eugene",Hombre,2.0,4,1,29.125,Queenstown,0,No sobrevivió
18,1,2,"Williams, Mr. Charles Eugene",Hombre,30.0,0,0,13.0,Southampton,0,Sobrevivió
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",Mujer,31.0,1,0,18.0,Southampton,0,No sobrevivió
20,1,3,"Masselmani, Mrs. Fatima",Mujer,21.5,0,0,7.225,Cherbourg,0,Sobrevivió
21,0,2,"Fynney, Mr. Joseph J",Hombre,35.0,0,0,26.0,Southampton,0,No sobrevivió
22,1,2,"Beesley, Mr. Lawrence",Hombre,34.0,0,0,13.0,Southampton,1,Sobrevivió
23,1,3,"McGowan, Miss. Anna ""Annie""",Mujer,15.0,0,0,8.0292,Queenstown,0,Sobrevivió
24,1,1,"Sloper, Mr. William Thompson",Hombre,28.0,0,0,35.5,Southampton,1,Sobrevivió
25,0,3,"Palsson, Miss. Torborg Danira",Mujer,8.0,3,1,21.075,Southampton,0,No sobrevivió
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",Mujer,38.0,1,5,31.3875,Southampton,0,Sobrevivió
27,0,3,"Emir, Mr. Farred Chehab",Hombre,25.0,0,0,7.225,Cherbourg,0,No sobrevivió
